gene;identifier
hadA;Rv0635
Rv3083;Rv3083
Rv0565c;Rv0565c
ethR;Rv3855
Rv2681;Rv2681
Rv2680;Rv2680
Rv1129c;Rv1129c
panD;Rv3601c
rrl;MTB000020
rrs;MTB000019
tlyA;Rv1694
PPE35;Rv1918c
Rv0010c;Rv0010c
Rv0678;Rv0678
Rv1258c;Rv1258c
Rv1979c;Rv1979c
Rv2477c;Rv2477c
Rv2752c;Rv2752c
Rv2983;Rv2983
Rv3236c;Rv3236c
aftB;Rv3805c
ahpC;Rv2428
atpE;Rv1305
bacA;Rv1819c
ccsA;Rv0529
clpC1;Rv3596c
ddn;Rv3547
dnaA;Rv0001
eis;Rv2416c
embA;Rv3794
embB;Rv3795
embC;Rv3793
embR;Rv1267c
ethA;Rv3854c
fbiA;Rv3261
fbiB;Rv3262
fbiC;Rv1173
fgd1;Rv0407
gid;Rv3919c
glpK;Rv3696c
gyrA;Rv0006
gyrB;Rv0005
inhA;Rv1484
katG;Rv1908c
lpqB;Rv3244c
mmpL5;Rv0676c
mmpS5;Rv0677c
mshA;Rv0486
mtrA;Rv3246c
mtrB;Rv3245c
ndh;Rv1854c
nusG;Rv0639
pepQ;Rv2535c
pncA;Rv2043c
rplC;Rv0701
rpoA;Rv3457c
rpoB;Rv0667
rpoC;Rv0668
rpsA;Rv1630
rpsL;Rv0682
sigE;Rv1221
tsnR;Rv1644
ubiA;Rv3806c
whiB6;Rv3862c
whiB7;Rv3197A